Metric,Value,Category
Agent Prediction Accuracy,0.4675,Agent Prediction
Agent Precision (Weighted),0.2186,Agent Prediction
Agent Recall (Weighted),0.4675,Agent Prediction
Agent F1-Score (Weighted),0.2979,Agent Prediction
AI_Agent Precision,0.0000,Agent Per-Class
AI_Agent Recall,0.0000,Agent Per-Class
AI_Agent F1-Score,0.0000,Agent Per-Class
Crypto_Agent Precision,0.4675,Agent Per-Class
Crypto_Agent Recall,1.0000,Agent Per-Class
Crypto_Agent F1-Score,0.6371,Agent Per-Class
Action Prediction Accuracy,0.7325,Action Prediction
Action Precision (Weighted),0.5366,Action Prediction
Action Recall (Weighted),0.7325,Action Prediction
Action F1-Score (Weighted),0.6194,Action Prediction
Time MAE (minutes),5.33,Time Prediction
Time RMSE (minutes),5.86,Time Prediction
Time Accuracy (±5 min),0.3030,Time Prediction
Time Accuracy (±15 min),0.9915,Time Prediction
Time Accuracy (±30 min),0.9995,Time Prediction
Time Accuracy (±1 hour),1.0000,Time Prediction
